"sample_id","estimate_tumor","quantiseq_cd8","epic_caf","epic_bcells","rectangle_aggregated_B_cells","rectangle_aggregated_CAFs","rectangle_aggregated_Tumor_cells","rectangle_aggregated_Dendritic_cells","rectangle_aggregated_Endothelial_cells","rectangle_aggregated_Macrophages","rectangle_aggregated_Monocytes","rectangle_aggregated_NK_cells","rectangle_aggregated_PVL","rectangle_aggregated_T_cells"
"01BR042",0.714334746703837,0.013039716744286,0.0144474183363225,0.029102421153973,0.107413677068771,0.0156060736156024,0.661905576761867,0.00168605717172895,0.0209379443709371,0.126781778047435,0,3.09117411134283e-09,0.00612200578968863,0.058020601890971
"20BR005",0.622827478421588,0.00343579464992192,0.198787499873932,0.00276168273353473,0.0355345993731579,0.150089708066219,0.688435088636337,0,0.025358082024243,0.0809780722246601,0.000706604981568873,0,0.00281572458594477,0.0158486980624491
"03BR013",0.592961950186962,0.0118467826707024,0.238714276102607,0.0341357949944199,0.0806918952318597,0.122717061834431,0.635749678630288,0,0.0566772337050149,0.0544648713398303,0.000158149065321482,0,0.00560600023757899,0.0424909738368073
"21BR001",0.591646721351924,0.0200445123105915,0.0471510122090942,0.051839071331198,0.401732041382963,0.0159633910483739,0.394186876305101,0.00317041599192011,0.0131320116023968,0.0680048605477496,0.000126771645536919,0,0.00768193833078338,0.0763293683794393
"05BR042",0.665242812883716,0.0105746712221788,0.111592071753656,0.00562925994038214,0.0888391832179237,0.0678029580915612,0.621648754035802,0.0308036788141054,0.0241727529581899,0.0821588915655707,0,3.66375060587505e-09,9.11824474749294e-09,0.0823322491072452
"05BR043",0.584729638985228,0.0237787528221556,0.150773786285983,0.0117669702931534,0.0592270368680085,0.103800003343801,0.572508157724263,0,0.0300799511090226,0.152551201209077,0,6.10542264448248e-09,8.32493602026976e-09,0.0765757782572298
"01BR032",0.891288122327441,0,0.0494511371311569,0.000496269726747311,0,0.0144392709265466,0.75465795863146,0,0.0342935555533398,0.0134030610408691,0.101846613059657,0,0.0813595407881281,0
"11BR036",0.878437134446714,0,0.0584310704244636,0.000569130872466457,1.82385742302705e-09,0.0289589341062388,0.876998354734665,0,0.0584834432374281,0.0326092283635127,5.98820567777408e-09,5.4443477963463e-08,7.46271621837227e-05,0.00287535014043092
"01BR001",0.795434713144547,0.00245545715119376,0.0383056084691163,0.00649121533429937,0.0263302085563826,0.0237143894508976,0.886625451208335,0,0.017817736156197,0.0242107167652947,0,0,0.00784947283988408,0.0134520238682605
"11BR074",0.584672632497226,0.00985765404182574,0.52078550151898,0.00330645830764826,0.0477496695336505,0.297981516140937,0.536694386000121,0,0.061093003722019,0.0462166032450369,0,5.03260791766213e-09,4.34953590415153e-09,0.00830144910664406
"03BR006",0.743940896732707,0.00570429502764553,0.0438146469511382,0.00348170161758939,0.0720866696261226,0.053095321377042,0.715561299161445,0,0.0396659815270855,0.0571919758720763,0,0,0.00312851415634575,0.0433923453424679
"11BR023",0.543620051524621,0.0364395388030376,0.107074643634158,0.0179705349938027,0.122675804534791,0.0690013394759651,0.496405947029773,0,0.0244209829723914,0.157976731584729,1.05740243450941e-08,5.33646043178577e-08,2.53157578663232e-08,0.125966854878466
"11BR069",0.718719219844887,0.0190704911614473,0.0601227037543439,0.0280041396828574,0.181137119889448,0.0348422053179003,0.682787612745159,0.0077297288738768,0.0228448429493357,0.013842386762257,0.00840935873889012,3.97094509735773e-05,0.000378866399799011,0.0417684394961511
"01BR017",0.518125198656137,0.0165213057991922,0.192535525804115,0.0163350716615562,0.189173747700285,0.0667398606309988,0.599597071418516,0,0.0162693384071177,0.0776563805091963,0.00680351399079509,3.40484203093161e-07,1.17878510398631e-07,0.0399396229454295
"22BR005",0.63326480278951,0.00799999483098045,0.064879459113506,0.00658070622764343,0.0348090940675212,0.0712146757855927,0.753985398262864,0,0.0450565228178423,0.0516691113171753,0.00131221379538581,0,0.000842046373287112,0.0411109375803323
"01BR027",0.786068507461306,0.00701758322836455,0.034252468956384,0.00735452276541603,0.0998074631155202,0.0399948024455623,0.747225846831397,0,0.0137577259871383,0.0703195577907873,0,0,0.00125128645227011,0.0239001253768676
"18BR010",0.606217128038385,0.00235745494897918,0.346898695118885,0.00134969653960493,0.0128379435210385,0.254585756973193,0.547042226383086,0,0.0433773759373508,0.124701298770525,0,2.28796092900765e-07,0.000852283943491324,0.015752527319665
"05BR045",0.748161566667482,0.01277462018307,0.0843927037896976,0.00285218437694469,0.00663885661033504,0.0706620291629263,0.668485410613117,0.000882986677542378,0.0443608754005872,0.0440800713797296,0.00360715988060625,6.71537986795048e-08,0.000556035251035522,0.149711479170735
"11BR058",0.505727426298129,0.00861911646585204,0.590726633614953,0.000488441124695802,0.0135104306182964,0.315758250591168,0.420947205369568,0,0.0472533401093884,0.161660631225039,0,0,0.00970610252418098,0.0311639487142139
"01BR009",0.544990228328124,0.00676262726077069,0.135513876881445,0.0392973560812111,0.41147443970782,0.073368443728968,0.341970063580001,0.00339935441135032,0.0431090446921414,0.056582252404053,0.00826581538372289,1.25555105784646e-08,0.0270495309213348,0.0286162116569659
"18BR019",0.713744230371879,0.0152505971603371,0.11152349876092,0.00396873439428793,0.0277103100816038,0.120581148103914,0.695776528073263,0,0.0669117858951685,0.0412553072257444,0.0262879172728627,1.04165195997647e-09,0.000963070066034138,0.0196116381553532
"01BR026",0.357565688241814,0.0162755873854638,0.626609203564276,0.0104376623149867,0.0294384431122863,0.30926988475737,0.326576068660631,0,0.0785005715959622,0.149482240526036,0.00167791637972191,0,0.00139555927759226,0.0966205104755815
"11BR028",0.71062276708398,0.00353607621618019,0.165871147429873,0.00269903675916629,0.0111778754456199,0.082384732512727,0.817180096703461,0,0.0233900888975114,0.0503363892549892,0,0,1.11303402174061e-08,0.0155308060553508
"05BR026",0.402140682879506,0.0232651514980375,0.3783973583827,0.00178662242061256,0.0480945204397176,0.243189416977623,0.43161633019555,0,0.0809496190306867,0.175192000511479,0,0,0,0.0197042180526778
"09BR005",0.756057091958305,0,0.403625313552651,1.34558410722826e-06,0,0.200542870437195,0.720031658865442,0,0.0207161254402001,0.0524423987473222,0.00101676592324292,0,0,0.00525018058659707
"11BR073",0.490894668831992,0.0352302629609581,0.0678779544967529,0.0626917455543777,0.231698893262971,0.0275736609725197,0.522281553853083,0.000532804969993735,0.0154691965963162,0.0651895574308545,0,0,0,0.110363633125303
